2025-12-01 | hours: 1589:00 (1589.00) | delta: 0.00 | prev: 1589 -> 1589
2025-12-01 | hours: 1640:00 (1640.00) | delta: 51.00 | prev: 1589 -> 1640
2025-12-02 | hours: 1640:00 (1640.00) | delta: 0.00 | prev: 1640 -> 1640
2025-12-03 | hours: 1640:00 (1640.00) | delta: 0.00 | prev: 1640 -> 1640
2025-12-04 | hours: 1640:00 (1640.00) | delta: 0.00 | prev: 1640 -> 1640
2025-12-04 | hours: 1640:00 (1640.00) | delta: 0.00 | prev: 1640 -> 1640
2025-12-05 | hours: 1640:00 (1640.00) | delta: 0.00 | prev: 1640 -> 1640
2025-12-05 | hours: 1640:00 (1640.00) | delta: 0.00 | prev: 1640 -> 1640
2025-12-06 | hours: 1640:00 (1640.00) | delta: 0.00 | prev: 1640 -> 1640
2025-12-06 | hours: 1641:30 (1641.50) | delta: 1.50 | prev: 1640 -> 1641.5
2025-12-07 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-08 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-08 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-09 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-10 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-11 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-11 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-12 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-13 | hours: 1641:30 (1641.50) | delta: 0.00 | prev: 1641.5 -> 1641.5
2025-12-14 | hours: 1644:20 (1644.33) | delta: 2.83 | prev: 1641.5 -> 1644.3333333333333
2025-12-15 | hours: 1644:20 (1644.33) | delta: 0.00 | prev: 1644.3333333333333 -> 1644.3333333333333
